Site,Date,Plot,Species,Percent_Cover,Collected_specimen,Herbarium specimen,Notes
McLaughlin Natural Reserve,2022-03-23,2,Leptosiphon bicolor,1,,,
McLaughlin Natural Reserve,2022-03-23,2,Litter,10,,,
McLaughlin Natural Reserve,2022-03-23,2,Lupinus bicolor,30,,,
McLaughlin Natural Reserve,2022-03-23,2,Micropus californicus,3,,,
McLaughlin Natural Reserve,2022-03-23,2,Rock,0,,,
McLaughlin Natural Reserve,2022-03-23,2,Trifolium sp.,1,,,fuzzy
McLaughlin Natural Reserve,2022-03-23,2,Trifolium sp.,1,,,Inflated fruit
McLaughlin Natural Reserve,2022-03-23,2,Trifolium sp.,1,,,not fuzzy
McLaughlin Natural Reserve,2022-03-23,2,Tryphysaria eriantha,2,,,
McLaughlin Natural Reserve,2022-05-16,2,Avena barbata,1,,,could be barbata
McLaughlin Natural Reserve,2022-05-16,2,Bromus diandrus,1,,,could be barbata
McLaughlin Natural Reserve,2022-05-16,2,Elymus caput-medusae,25,,,could be barbata
McLaughlin Natural Reserve,2022-05-16,2,Bromus hordeaceus,1,,,could be barbata
McLaughlin Natural Reserve,2022-03-23,3,Acmispon wrangelianus,1,,,
McLaughlin Natural Reserve,2022-03-23,3,Bare ground,1,,,
McLaughlin Natural Reserve,2022-03-23,3,Bulb,5,,,
McLaughlin Natural Reserve,2022-03-23,3,Clarkia purpurea,5,,,
McLaughlin Natural Reserve,2022-03-23,3,Erodium botrys,7,,,
McLaughlin Natural Reserve,2022-03-23,3,Grass,25,,,
McLaughlin Natural Reserve,2022-03-23,3,Holocarpha virgata,20,,,
McLaughlin Natural Reserve,2022-03-23,3,Litter,40,,,
McLaughlin Natural Reserve,2022-03-23,3,Lupinus bicolor,12,,,
McLaughlin Natural Reserve,2022-03-23,3,Micropus californicus,8,,,
McLaughlin Natural Reserve,2022-03-23,3,Rock,0,,,
McLaughlin Natural Reserve,2022-03-23,3,Sanicula bipinnata,3,,,
McLaughlin Natural Reserve,2022-05-16,3,Avena barbata,1,,,could be barbata
McLaughlin Natural Reserve,2022-05-16,3,Bromus diandrus,2,,,could be barbata
McLaughlin Natural Reserve,2022-05-16,3,Elymus caput-medusae,25,,,could be barbata
McLaughlin Natural Reserve,2022-05-16,3,Bromus hordeaceus,1,,,could be barbata
McLaughlin Natural Reserve,2022-05-16,3,Briza minor,1,,,
McLaughlin Natural Reserve,2022-05-16,3,Juncus sp.,2,,,
McLaughlin Natural Reserve,2022-05-16,3,Logfia gallica,1,,,
McLaughlin Natural Reserve,2022-03-23,4,Acmispon wrangelianus,2,,,
McLaughlin Natural Reserve,2022-03-23,4,Bare ground,0,,,
McLaughlin Natural Reserve,2022-03-23,4,Bulb,1,,,
McLaughlin Natural Reserve,2022-03-23,4,Clarkia purpurea,25,,,
McLaughlin Natural Reserve,2022-03-23,4,Erodium botrys,15,,,
McLaughlin Natural Reserve,2022-03-23,4,Galium sp.,1,,,
McLaughlin Natural Reserve,2022-03-23,4,Grass,3,,,
McLaughlin Natural Reserve,2022-03-23,4,Holocarpha virgata,2,,,
McLaughlin Natural Reserve,2022-03-23,4,Hypochaeris glabra,5,,,
McLaughlin Natural Reserve,2022-03-23,4,Litter,17,,,
McLaughlin Natural Reserve,2022-03-23,4,Lupinus bicolor,5,,,
McLaughlin Natural Reserve,2022-03-23,4,Micropus californicus,1,,,
McLaughlin Natural Reserve,2022-03-23,4,Rock,0,,,
McLaughlin Natural Reserve,2022-03-23,4,Thysanocarpus sp.,1,,,
McLaughlin Natural Reserve,2022-03-23,4,Trifolium hirtum,4,,,fuzzy
McLaughlin Natural Reserve,2022-03-23,4,Trifolium sp.,1,,,not fuzzy
McLaughlin Natural Reserve,2022-03-23,4,Unknown forb,1,,,"picture at 3:51, opposite lvs, collected, not in fl"
McLaughlin Natural Reserve,2022-05-16,4,Avena barbata,2,,,could be barbata
McLaughlin Natural Reserve,2022-05-16,4,Elymus caput-medusae,3,,,could be barbata
McLaughlin Natural Reserve,2022-05-16,4,Bromus hordeaceus,2,,,could be barbata
McLaughlin Natural Reserve,2022-03-23,5,Acmispon wrangelianus,1,,,
McLaughlin Natural Reserve,2022-03-23,5,Bare ground,0,,,
McLaughlin Natural Reserve,2022-03-23,5,Clarkia purpurea,20,,,
McLaughlin Natural Reserve,2022-03-23,5,Erodium botrys,30,,,
McLaughlin Natural Reserve,2022-03-23,5,Grass,35,,,
McLaughlin Natural Reserve,2022-03-23,5,Holocarpha virgata,5,,,
McLaughlin Natural Reserve,2022-03-23,5,Hypochaeris glabra,3,,,
